"DateTime","Average","Purple Air A","Purple Air B"
"2023-05-21 14:15:12",,211.07,218.36
"2023-05-21 14:17:12",,210.91,217.72
"2023-05-21 14:19:12",,213.83,221.7
"2023-05-21 14:21:15",,211.24,218.37
"2023-05-21 14:23:12",,213.02,218.35
"2023-05-21 14:25:13",,216.09,218.34
"2023-05-21 14:27:13",,205.68,212.91
"2023-05-21 14:29:13",,206.98,209.28
"2023-05-21 14:31:13",,199.63,206.07
"2023-05-21 14:33:13",,202.09,207.3
"2023-05-21 14:35:13",,197.72,203.04
"2023-05-21 14:37:13",,202.16,204.92
"2023-05-21 14:39:13",,192.29,202.38
"2023-05-21 14:41:13",,191.08,198.67
"2023-05-21 14:43:13",,191.57,192.38
"2023-05-21 14:45:13",,184.28,188.51
"2023-05-21 14:47:13",,189.2,188.13
"2023-05-21 14:49:13",,183.19,189.33
"2023-05-21 14:51:13",,181.49,185.85
"2023-05-21 14:53:13",,183.82,184.43
"2023-05-21 14:55:13",,179.73,181.09
"2023-05-21 14:57:13",,179.91,179.26
"2023-05-21 14:59:13",,172.32,173.84
"2023-05-21 15:01:13",,171.52,175.49
"2023-05-21 15:03:13",,168.64,174.5
"2023-05-21 15:05:13",,174.66,176.89
"2023-05-21 15:07:13",,169.2,175.09
"2023-05-21 15:09:13",,168.67,170.43
"2023-05-21 15:11:13",,164.69,168.09
"2023-05-21 15:13:13",,163.26,167
"2023-05-21 15:15:13",,161.62,163.32
"2023-05-21 15:17:13",,161.54,164.07
"2023-05-21 15:19:13",,160.49,163.02
"2023-05-21 15:21:13",,163.82,161.56
"2023-05-21 15:23:13",,156.4,157.6
"2023-05-21 15:25:14",,153.92,157.29
"2023-05-21 15:27:14",,147.45,151.5
"2023-05-21 15:29:14",,146.24,152.89
"2023-05-21 15:31:14",,142.87,148.85
"2023-05-21 15:33:14",,145.35,149.46
"2023-05-21 15:35:14",,144.4,146.47
"2023-05-21 15:37:14",,143.9,149.07
"2023-05-21 15:39:14",,143.21,147.28
