"Date","VOC, ppm","AQS","Air quality health index (AQHI) - Canada","Temperature, °C","Humidity, %","Pressure, mbar","PM1, ug/m3","PM2.5, ug/m3","PM2.5 (avg 3h), ug/m3","PM10, ug/m3","PM10 (avg 3h), ug/m3","Latitude","Longitude"
"2023-05-22 00:26:00","0.146","37","3","25","33.0","928.88","66.0","72.0","72.26111","75.0","76.31111","",""
"2023-05-22 00:25:00","0.145","35","3","25","33.0","928.87","68.0","74.0","72.244446","77.0","76.3","",""
"2023-05-22 00:24:00","0.143","35","3","25","33.0","928.89","68.0","74.0","72.21667","77.0","76.27778","",""
"2023-05-22 00:23:00","0.141","35","3","25","33.0","928.95","68.0","74.0","72.18889","77.0","76.255554","",""
"2023-05-22 00:22:00","0.14","35","3","25","33.0","929.02","68.0","74.0","72.16111","77.0","76.23333","",""
"2023-05-22 00:21:00","0.139","35","3","25","33.0","929.13","68.0","74.0","72.13333","77.0","76.21111","",""
"2023-05-22 00:20:00","0.138","35","3","25","33.0","929.22","68.0","74.0","72.10555","77.0","76.18889","",""
"2023-05-22 00:19:00","0.137","35","3","25","33.0","929.25","68.0","74.0","72.077774","77.0","76.166664","",""
"2023-05-22 00:18:00","0.136","35","3","25","33.0","929.28","68.0","74.0","72.05","77.0","76.14445","",""
"2023-05-22 00:17:00","0.135","35","3","25","33.0","929.28","68.0","74.0","72.022224","77.0","76.12222","",""
"2023-05-22 00:16:00","0.134","35","3","25","33.0","929.29","68.0","74.0","71.994446","77.0","76.1","",""
"2023-05-22 00:15:00","0.133","35","3","25","33.0","929.33","68.0","74.0","71.96667","77.0","76.077774","",""
"2023-05-22 00:14:00","0.133","35","3","25","33.0","929.36","68.0","74.0","71.93889","77.0","76.05556","",""
"2023-05-22 00:13:00","0.134","35","3","25","33.0","929.36","68.0","74.0","71.916664","77.0","76.05","",""
"2023-05-22 00:12:00","0.137","35","3","25","33.0","929.37","68.0","74.0","71.86667","77.0","76.0","",""
