Data are subject to change at any time when further reviewed or when the Warehouse is updated. Questions can be directed to air.data@gov.ab.ca.
Multiple Parameters-One Station Data Comparison Report
Report generated by airdata.alberta.ca
Report generated on 2021-04-21 16:05:15
Collection Type: Continuous
,,Program Code: Core Long Term
,,StationName: Edmonton Central
,,Station ID: 1028
,,Station Type: Permanent
,,StationLatitude: 53.54444
,,Station Longitude: -113.49876
,,Parameter: PM2.5 Mass
,,Method Name: Direct Mass Measurement/Micro Balance (TEOM) @ 30C with FDMS (self referencing) with data reported at actual ambient conditions
,,Unit: ug/m3
,,VvcCode: VVC148
IntervalStart,IntervalEnd,MeasurementValue
05/24/2019 00:00:00,05/24/2019 00:59:00,16
05/24/2019 01:00:00,05/24/2019 01:59:00,7
05/24/2019 02:00:00,05/24/2019 02:59:00,9
05/24/2019 03:00:00,05/24/2019 03:59:00,13
05/24/2019 04:00:00,05/24/2019 04:59:00,9
05/24/2019 05:00:00,05/24/2019 05:59:00,10
05/24/2019 06:00:00,05/24/2019 06:59:00,13
05/24/2019 07:00:00,05/24/2019 07:59:00,14
05/24/2019 08:00:00,05/24/2019 08:59:00,12
05/24/2019 09:00:00,05/24/2019 09:59:00,15
05/24/2019 10:00:00,05/24/2019 10:59:00,9
05/24/2019 11:00:00,05/24/2019 11:59:00,13
05/24/2019 12:00:00,05/24/2019 12:59:00,10
05/24/2019 13:00:00,05/24/2019 13:59:00,12
05/24/2019 14:00:00,05/24/2019 14:59:00,6
05/24/2019 15:00:00,05/24/2019 15:59:00,5
05/24/2019 16:00:00,05/24/2019 16:59:00,8
05/24/2019 17:00:00,05/24/2019 17:59:00,0
05/24/2019 18:00:00,05/24/2019 18:59:00,6
05/24/2019 19:00:00,05/24/2019 19:59:00,13
05/24/2019 20:00:00,05/24/2019 20:59:00,16
05/24/2019 21:00:00,05/24/2019 21:59:00,17
05/24/2019 22:00:00,05/24/2019 22:59:00,15
05/24/2019 23:00:00,05/24/2019 23:59:00,19
05/25/2019 00:00:00,05/25/2019 00:59:00,13
05/25/2019 01:00:00,05/25/2019 01:59:00,20
05/25/2019 02:00:00,05/25/2019 02:59:00,17
05/25/2019 03:00:00,05/25/2019 03:59:00,16
05/25/2019 04:00:00,05/25/2019 04:59:00,14
05/25/2019 05:00:00,05/25/2019 05:59:00,16
05/25/2019 06:00:00,05/25/2019 06:59:00,12
05/25/2019 07:00:00,05/25/2019 07:59:00,22
05/25/2019 08:00:00,05/25/2019 08:59:00,7
05/25/2019 09:00:00,05/25/2019 09:59:00,4
05/25/2019 10:00:00,05/25/2019 10:59:00,10
05/25/2019 11:00:00,05/25/2019 11:59:00,13
05/25/2019 12:00:00,05/25/2019 12:59:00,5
05/25/2019 13:00:00,05/25/2019 13:59:00,1
05/25/2019 14:00:00,05/25/2019 14:59:00,17
05/25/2019 15:00:00,05/25/2019 15:59:00,9
05/25/2019 16:00:00,05/25/2019 16:59:00,9
05/25/2019 17:00:00,05/25/2019 17:59:00,12
05/25/2019 18:00:00,05/25/2019 18:59:00,10
05/25/2019 19:00:00,05/25/2019 19:59:00,6
05/25/2019 20:00:00,05/25/2019 20:59:00,10
05/25/2019 21:00:00,05/25/2019 21:59:00,12
05/25/2019 22:00:00,05/25/2019 22:59:00,10
05/25/2019 23:00:00,05/25/2019 23:59:00,9
05/26/2019 00:00:00,05/26/2019 00:59:00,12
05/26/2019 01:00:00,05/26/2019 01:59:00,12
05/26/2019 02:00:00,05/26/2019 02:59:00,12
05/26/2019 03:00:00,05/26/2019 03:59:00,19
05/26/2019 04:00:00,05/26/2019 04:59:00,15
05/26/2019 05:00:00,05/26/2019 05:59:00,19
05/26/2019 06:00:00,05/26/2019 06:59:00,21
05/26/2019 07:00:00,05/26/2019 07:59:00,22
05/26/2019 08:00:00,05/26/2019 08:59:00,22
05/26/2019 09:00:00,05/26/2019 09:59:00,21
05/26/2019 10:00:00,05/26/2019 10:59:00,19
05/26/2019 11:00:00,05/26/2019 11:59:00,13
05/26/2019 12:00:00,05/26/2019 12:59:00,23
05/26/2019 13:00:00,05/26/2019 13:59:00,17
05/26/2019 14:00:00,05/26/2019 14:59:00,20
05/26/2019 15:00:00,05/26/2019 15:59:00,20
05/26/2019 16:00:00,05/26/2019 16:59:00,21
05/26/2019 17:00:00,05/26/2019 17:59:00,13
05/26/2019 18:00:00,05/26/2019 18:59:00,13
05/26/2019 19:00:00,05/26/2019 19:59:00,14
05/26/2019 20:00:00,05/26/2019 20:59:00,15
05/26/2019 21:00:00,05/26/2019 21:59:00,11
05/26/2019 22:00:00,05/26/2019 22:59:00,13
05/26/2019 23:00:00,05/26/2019 23:59:00,15
05/27/2019 00:00:00,05/27/2019 00:59:00,14
05/27/2019 01:00:00,05/27/2019 01:59:00,13
05/27/2019 02:00:00,05/27/2019 02:59:00,15
05/27/2019 03:00:00,05/27/2019 03:59:00,18
05/27/2019 04:00:00,05/27/2019 04:59:00,14
05/27/2019 05:00:00,05/27/2019 05:59:00,19
