Timestamp,VOC,RH,T,P,PM1,PM2.5,PM10
1747673958.018153,,,,,1,2,4
1747673958.5199962,,,,,1,2,4
1747673960.540336,,,,,1,2,4
1747673961.0400789,,,,,1,2,4
1747673962.052385,,,,,1,2,3
1747673962.560373,,,,,1,2,3
1747673963.5703766,,,,,1,2,3
1747673964.5794206,,,,,1,3,3
1747673965.0863886,,,,,1,3,3
1747673966.09037,,,,,1,3,3
1747673967.0965493,,,,,1,3,3
1747673969.1204073,,,,,1,2,3
1747673969.625542,,,,,1,2,3
1747673970.1295178,,,,,1,2,3
1747673971.144588,,,,,1,2,3
1747673971.6494732,,,,,1,2,3
1747673972.1555848,,,,,1,2,3
1747673973.1668403,0.201,35,21,93.345,,,
1747673974.166689,,,,,1,2,3
1747673974.6765323,,,,,1,2,3
1747673975.200671,0.206,35,21,93.355,,,
1747673975.6802883,,,,,1,2,3
1747673976.6915638,,,,,1,2,3
1747673977.1916165,,,,,1,2,3
1747673978.7056177,,,,,1,2,3
1747673979.2156706,,,,,1,2,3
1747673980.2206655,,,,,1,2,3
1747673981.2297513,,,,,1,2,3
1747673981.7336805,,,,,1,2,3
1747673982.2416809,,,,,1,2,3
1747673982.7485487,,,,,1,2,3
1747673983.253723,,,,,1,2,3
1747673983.7626932,,,,,1,2,3
1747673984.274725,0.202,35,21,93.355,,,
1747673984.7697833,,,,,1,2,3
1747673986.2877316,,,,,1,2,3
1747673987.2977626,0.205,35,21,93.352,,,
1747673988.3157275,0.201,35,21,93.344,,,
1747673988.8056571,,,,,1,2,3
1747673989.3108573,,,,,1,2,3
1747673989.8127599,,,,,1,2,3
1747673990.3220465,,,,,1,2,3
1747673990.8319252,0.202,36,21,93.345,,,
1747673991.8267267,,,,,1,2,3
1747673992.341849,0.202,36,21,93.345,,,
1747673993.3468258,0.202,36,21,93.342,,,
1747673993.8477874,,,,,1,2,3
1747673994.8629205,,,,,1,2,3
1747673995.3688767,,,,,1,2,3
1747673995.8721278,,,,,1,2,3
1747673996.3709543,,,,,1,2,3
1747673996.877909,,,,,1,2,3
1747673997.3809311,,,,,1,2,3
1747673997.8839989,,,,,1,2,3
1747673998.383959,,,,,1,2,3
1747673998.8909507,,,,,1,2,3
1747673999.3999677,,,,,1,2,3
1747673999.9059772,,,,,1,2,3
1747674000.4071517,,,,,1,2,3
1747674000.9089978,,,,,1,2,3
1747674001.414037,,,,,1,2,3
1747674003.942101,,,,,1,2,3
1747674004.4440238,,,,,1,2,3
1747674005.950066,,,,,1,2,3
1747674006.452034,,,,,1,2,3
1747674007.963125,,,,,1,2,3
1747674008.4700105,,,,,1,2,3
1747674008.9759521,,,,,1,2,3
1747674009.4799905,,,,,1,2,3
1747674009.989126,,,,,1,2,3
1747674011.0039983,,,,,1,2,3
1747674012.017163,,,,,1,2,3
1747674012.5190418,,,,,1,2,3
1747674013.0290453,,,,,1,2,3
1747674013.5532165,0.201,35,21,93.346,,,
1747674014.0461867,,,,,1,2,3
1747674015.0591507,,,,,1,2,3
1747674015.5631893,0.202,34,21,93.353,,,
1747674016.0622602,,,,,1,2,3
1747674016.566226,0.203,35,21,93.351,,,
1747674017.0712845,,,,,1,2,3
1747674017.5790238,,,,,1,2,3
1747674018.0822048,,,,,1,2,3
1747674022.625301,,,,,1,2,3
1747674023.1353557,,,,,1,2,3
1747674024.1494596,0.2,35,21,93.343,,,
1747674024.6552825,,,,,1,2,3
1747674025.6683772,,,,,1,2,3
1747674026.1905088,0.2,35,21,93.343,,,
1747674026.6713638,,,,,1,2,3
1747674027.6804514,,,,,1,2,3
1747674028.1913471,,,,,1,2,3
1747674028.7123916,0.196,35,21,93.35,,,
1747674029.2023418,,,,,1,2,3
1747674029.7125516,,,,,1,2,3
1747674031.2235518,,,,,1,2,3
1747674031.723501,,,,,1,2,3
1747674032.2525227,0.197,35,21,93.346,,,
1747674032.7380044,,,,,1,2,3
1747674033.306586,0.197,35,21,93.346,,,
1747674035.2624831,,,,,1,2,3
1747674035.7835333,0.195,35,21,93.348,,,
1747674036.2825093,0.195,35,21,93.348,,,
1747674036.7724886,,,,,1,2,3
1747674039.8025272,,,,,1,2,3
1747674040.3188002,0.201,35,21,93.345,,,
1747674040.8206766,,,,,1,2,3
1747674041.3217041,,,,,1,2,3
1747674041.8216407,,,,,1,2,3
1747674042.3215609,,,,,1,2,3
1747674042.8316104,,,,,1,2,3
1747674043.3416665,,,,,1,2,3
1747674044.359587,,,,,1,2,3
1747674044.868893,0.2,35,21,93.338,,,
1747674045.3697107,0.201,35,21,93.344,,,
1747674045.872724,,,,,1,2,3
1747674047.3785758,,,,,1,2,3
1747674047.8858676,,,,,1,2,3
1747674049.9070332,,,,,1,2,3
1747674050.9228048,,,,,1,2,3
1747674051.938819,,,,,1,2,3
1747674052.439709,,,,,1,2,3
1747674052.9428384,,,,,1,2,3
1747674053.4590409,0.199,35,21,93.348,,,
1747674054.450786,,,,,1,2,3
1747674054.9619122,0.199,35,21,93.348,,,
1747674055.466643,,,,,1,2,3
1747674055.9695513,,,,,1,2,3
1747674056.4718423,,,,,1,2,3
1747674056.988955,0.199,35,21,93.344,,,
1747674057.9777098,,,,,1,2,3
1747674058.988891,,,,,1,2,3
1747674059.4960935,0.201,35,21,93.343,,,
1747674059.9999201,,,,,1,2,3
1747674060.506883,,,,,1,2,3
1747674061.0107813,,,,,1,2,3
1747674061.5139046,,,,,1,2,3
1747674062.0279508,0.201,35,21,93.346,,,
1747674062.5208726,,,,,1,2,3
1747674063.0239627,0.201,35,21,93.346,,,
1747674063.547919,0.201,35,21,93.346,,,
1747674064.5265126,,,,,1,2,3
1747674065.538041,,,,,1,2,3
1747674066.0400646,,,,,1,2,3
1747674067.042109,,,,,1,2,3
1747674068.0489452,,,,,1,2,3
1747674068.5489628,,,,,1,2,3
1747674069.056064,,,,,1,2,3
1747674069.5648842,,,,,1,2,3
1747674070.0680795,,,,,1,2,3
1747674070.5680728,,,,,1,2,3
1747674071.0701244,,,,,1,2,3
1747674071.5770874,0.2,35,21,93.342,,,
1747674072.0901902,0.2,35,21,93.342,,,
1747674072.5821846,,,,,1,2,3
1747674073.0841062,,,,,1,2,3
1747674073.5891232,,,,,1,2,3
1747674074.0951912,0.2,35,21,93.342,,,
1747674074.6050444,,,,,1,2,3
1747674075.1141257,0.2,35,21,93.342,,,
1747674075.608195,0.2,35,21,93.342,,,
1747674076.111243,,,,,1,2,3
1747674076.6221414,0.2,35,21,93.342,,,
1747674077.1274772,0.203,35,21,93.343,,,
1747674077.6251497,,,,,1,2,3
1747674079.645259,,,,,1,2,3
1747674080.1531515,,,,,1,2,3
1747674080.667372,0.201,35,21,93.342,,,
1747674081.1633077,,,,,1,2,3
1747674082.1653032,,,,,1,2,3
1747674083.1732216,,,,,1,2,4
1747674084.6872587,,,,,1,2,4
1747674086.704122,,,,,1,2,4
1747674087.2060525,,,,,1,2,4
1747674090.2393851,,,,,1,3,4
1747674091.2432952,,,,,1,3,4
1747674091.7492728,,,,,1,3,4
1747674093.764265,,,,,1,3,4
1747674094.7816644,,,,,1,3,4
1747674095.2894425,,,,,1,3,4
1747674095.7984343,,,,,1,3,4
1747674097.3095453,,,,,1,3,4
1747674097.8154993,,,,,1,3,4
1747674098.322512,,,,,1,3,4
1747674099.8454385,,,,,1,3,4
1747674100.8565917,,,,,1,3,4
1747674101.3677342,,,,,1,3,3
1747674101.874331,,,,,1,3,3
1747674102.3755958,,,,,1,3,3
1747674104.391762,,,,,1,2,3
1747674104.8926272,,,,,1,2,3
1747674106.4155674,,,,,1,2,4
