Date,"VOC, ppm",AQS,"Air quality health index (AQHI) - Canada","Temperature, °C","Humidity, %","Pressure, kPa","PM1, ug/m3","PM2.5, ug/m3","PM2.5 (avg 3h), ug/m3","PM10, ug/m3","PM10 (avg 3h), ug/m3",Latitude,Longitude
"2025/05/19 12:04:00",0.212,87,1,21,33,93.29,1,1,1.4666667,2,2.7222223,,
"2025/05/19 12:03:00",0.213,87,1,21,33,93.28,1,1,1.4722222,2,2.7333333,,
"2025/05/19 12:02:00",0.214,87,1,21,34,93.29,1,1,1.4777777,2,2.7444444,,
"2025/05/19 12:01:00",0.215,87,1,21,33,93.29,1,1,1.4833333,2,2.7555556,,
"2025/05/19 12:00:00",0.216,87,1,21,33,93.29,1,1,1.4888889,2,2.7666667,,
"2025/05/19 11:59:00",0.217,86,1,21,33,93.29,1,1,1.4944445,2,2.7777777,,
"2025/05/19 11:58:00",0.218,86,1,21,33,93.29,1,1,1.5,3,2.788889,,
"2025/05/19 11:57:00",0.219,86,1,21,34,93.3,1,1,1.5055555,2,2.7944446,,
"2025/05/19 11:56:00",0.22,86,1,21,34,93.3,1,1,1.5111111,2,2.8055556,,
"2025/05/19 11:55:00",0.221,86,1,21,34,93.29,1,1,1.5166667,2,2.8166666,,
"2025/05/19 11:54:00",0.222,86,1,21,34,93.3,1,1,1.5222223,2,2.8277779,,
"2025/05/19 11:53:00",0.223,86,1,21,34,93.3,1,1,1.5277778,2,2.838889,,
"2025/05/19 11:52:00",0.224,86,1,21,34,93.3,1,1,1.5333333,2,2.85,,
"2025/05/19 11:51:00",0.225,86,1,21,34,93.29,1,1,1.5388889,2,2.8611112,,
"2025/05/19 11:50:00",0.226,86,1,21,34,93.29,1,1,1.5444444,2,2.8722222,,
"2025/05/19 11:49:00",0.227,86,1,21,34,93.29,1,1,1.55,2,2.8833334,,
"2025/05/19 11:48:00",0.228,86,1,21,34,93.29,1,1,1.5555556,2,2.8833334,,
"2025/05/19 11:47:00",0.229,86,1,21,34,93.29,1,1,1.5611111,2,2.8833334,,
"2025/05/19 11:46:00",0.23,86,1,21,34,93.3,1,1,1.5666667,2,2.8833334,,
"2025/05/19 11:45:00",0.231,86,1,21,34,93.3,1,2,1.5722222,3,2.8833334,,
"2025/05/19 11:44:00",0.232,86,1,21,34,93.3,1,1,1.5722222,2,2.8777778,,
"2025/05/19 11:43:00",0.233,86,1,21,34,93.3,1,2,1.5777777,2,2.8777778,,
"2025/05/19 11:42:00",0.234,85,1,21,34,93.3,1,1,1.5777777,2,2.8777778,,
"2025/05/19 11:41:00",0.235,85,1,21,34,93.3,1,1,1.5833334,2,2.8777778,,
"2025/05/19 11:40:00",0.236,85,1,21,34,93.3,1,1,1.5888889,2,2.8777778,,
"2025/05/19 11:39:00",0.237,85,1,21,34,93.31,1,2,1.5944444,3,2.8777778,,
"2025/05/19 11:38:00",0.238,85,1,21,34,93.31,1,1,1.5944444,2,2.8722222,,
"2025/05/19 11:37:00",0.238,85,1,21,34,93.31,1,1,1.6,2,2.8722222,,
"2025/05/19 11:36:00",0.238,85,1,21,34,93.31,1,1,1.6055555,2,2.8722222,,
"2025/05/19 11:35:00",0.238,85,1,21,35,93.32,1,2,1.6111112,3,2.8722222,,
"2025/05/19 11:34:00",0.238,85,1,21,34,93.32,1,2,1.6111112,3,2.8666666,,
"2025/05/19 11:33:00",0.238,85,1,21,34,93.32,1,1,1.6111112,2,2.8611112,,
"2025/05/19 11:32:00",0.238,85,1,21,34,93.32,1,2,1.6166667,3,2.8666666,,
"2025/05/19 11:31:00",0.238,85,1,21,34,93.31,1,2,1.6111112,3,2.8666666,,
"2025/05/19 11:30:00",0.238,85,1,21,35,93.32,1,2,1.6055555,3,2.8666666,,
"2025/05/19 11:29:00",0.238,85,1,21,35,93.32,1,2,1.6,3,2.8666666,,
"2025/05/19 11:28:00",0.238,85,1,21,35,93.32,1,1,1.5944444,3,2.8666666,,
"2025/05/19 11:27:00",0.238,85,1,21,35,93.32,1,1,1.5944444,2,2.8666666,,
"2025/05/19 11:26:00",0.238,85,1,21,35,93.32,1,2,1.5944444,2,2.8722222,,
"2025/05/19 11:25:00",0.238,85,1,21,35,93.32,1,2,1.5888889,3,2.8777778,,
"2025/05/19 11:24:00",0.238,85,1,21,35,93.33,1,2,1.5833334,3,2.8777778,,
"2025/05/19 11:23:00",0.238,85,1,21,35,93.33,1,2,1.5777777,3,2.8777778,,
"2025/05/19 11:22:00",0.238,85,1,21,35,93.33,1,2,1.5722222,3,2.8777778,,
"2025/05/19 11:21:00",0.239,85,1,21,35,93.33,1,2,1.5666667,3,2.8777778,,
"2025/05/19 11:20:00",0.24,85,1,21,35,93.33,1,2,1.5611111,3,2.8777778,,
"2025/05/19 11:19:00",0.241,85,1,21,35,93.33,1,2,1.5555556,3,2.8777778,,
"2025/05/19 11:18:00",0.242,85,1,21,35,93.33,1,2,1.55,3,2.8777778,,
"2025/05/19 11:17:00",0.243,85,1,21,35,93.33,1,1,1.5444444,2,2.8777778,,
"2025/05/19 11:16:00",0.244,85,1,21,35,93.34,1,2,1.5555556,3,2.8888888,,
"2025/05/19 11:15:00",0.245,85,1,21,35,93.34,1,2,1.5555556,3,2.8888888,,
"2025/05/19 11:14:00",0.247,85,1,21,35,93.34,1,2,1.5555556,3,2.8888888,,
"2025/05/19 11:13:00",0.249,85,1,21,35,93.34,1,2,1.5555556,3,2.8888888,,
"2025/05/19 11:12:00",0.251,84,1,21,35,93.34,1,1,1.5555556,3,2.8888888,,
"2025/05/19 11:11:00",0.253,84,1,21,36,93.34,1,2,1.5611111,3,2.8888888,,
"2025/05/19 11:10:00",0.255,84,1,21,36,93.33,1,2,1.5611111,3,2.8888888,,
"2025/05/19 11:09:00",0.257,84,1,21,35,93.34,1,2,1.5611111,3,2.8888888,,
"2025/05/19 11:08:00",0.259,84,1,21,36,93.34,1,2,1.5611111,3,2.8888888,,
"2025/05/19 11:07:00",0.261,84,1,21,36,93.34,1,2,1.5611111,3,2.8888888,,
"2025/05/19 11:06:00",0.264,84,1,21,36,93.34,1,2,1.5611111,3,2.8888888,,
"2025/05/19 11:05:00",0.268,83,1,21,35,93.34,1,2,1.5611111,3,2.8888888,,
"2025/05/19 11:04:00",0.272,83,1,21,35,93.34,1,2,1.5611111,3,2.8888888,,
"2025/05/19 11:03:00",0.276,83,1,21,35,93.34,1,2,1.5611111,3,2.8888888,,
"2025/05/19 11:02:00",0.28,83,1,21,35,93.34,1,2,1.5611111,3,2.8888888,,
"2025/05/19 11:01:00",0.285,82,1,21,35,93.34,1,2,1.5611111,3,2.8888888,,
"2025/05/19 11:00:00",0.29,82,1,21,35,93.35,1,2,1.5611111,3,2.8888888,,
"2025/05/19 10:59:00",0.295,82,1,21,35,93.35,1,2,1.5611111,3,2.8888888,,
