ID,NEIGHBOURHOOD_NAME,LOCATION_TYPE,SPECIES_BOTANICAL,SPECIES_COMMON,GENUS,SPECIES,CULTIVAR,DIAMETER_BREAST_HEIGHT,CONDITION_PERCENT,PLANTED_DATE,OWNER,"Bears Edible Fruit","Type of Edible Fruit",COUNT,LATITUDE,LONGITUDE,LOCATION,"Point Location"
449889,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,20,65,1990/01/01,Parks,FALSE,,1,53.53695945675063,-113.51201340003675,"(53.53695945675063, -113.51201340003675)","POINT (-113.51201340003675 53.53695945675063)"
612778,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,12,65,2016/06/01,Parks,FALSE,,1,53.541590284134934,-113.5324562411847,"(53.541590284134934, -113.5324562411847)","POINT (-113.5324562411847 53.541590284134934)"
432713,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,20,65,2009/06/01,Parks,FALSE,,1,53.543074215408836,-113.52008568434957,"(53.543074215408836, -113.52008568434957)","POINT (-113.52008568434957 53.543074215408836)"
612781,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,12,65,2016/06/01,Parks,FALSE,,1,53.54175491607456,-113.53242392021956,"(53.54175491607456, -113.53242392021956)","POINT (-113.53242392021956 53.54175491607456)"
449589,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,21,65,2016/06/01,Parks,FALSE,,1,53.53689746897845,-113.51221548821228,"(53.53689746897845, -113.51221548821228)","POINT (-113.51221548821228 53.53689746897845)"
529670,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,7,0,2016/06/01,Parks,FALSE,,1,53.54174885125693,-113.51955064592252,"(53.54174885125693, -113.51955064592252)","POINT (-113.51955064592252 53.54174885125693)"
612765,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,10,65,2016/06/01,Parks,FALSE,,1,53.54150717852247,-113.5338218568865,"(53.54150717852247, -113.5338218568865)","POINT (-113.5338218568865 53.54150717852247)"
479847,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,19,65,2010/06/01,Parks,FALSE,,1,53.537346503742924,-113.50977269781158,"(53.537346503742924, -113.50977269781158)","POINT (-113.50977269781158 53.537346503742924)"
163115,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,15,65,2016/06/01,Parks,FALSE,,1,53.539719026368104,-113.51771346270033,"(53.539719026368104, -113.51771346270033)","POINT (-113.51771346270033 53.539719026368104)"
612768,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,20,65,2018/06/01,Parks,FALSE,,1,53.541586119205014,-113.53402742428584,"(53.541586119205014, -113.53402742428584)","POINT (-113.53402742428584 53.541586119205014)"
