"DateTime","Average","Purple Air A","Purple Air B"
"2023-05-20 21:00:00",,358.142,359.47
"2023-05-20 21:10:00",,357.29,360.836
"2023-05-20 21:20:00",,363.226,367.654
"2023-05-20 21:30:00",,365.674,370.954
"2023-05-20 21:40:00",,365.756,369.936
"2023-05-20 21:50:00",,363.75,370.416
"2023-05-20 22:00:00",,371.412,377.494
"2023-05-20 22:10:00",,375.37,381.01
"2023-05-20 22:20:00",,382.274,389.224
"2023-05-20 22:30:00",,390.568,393.566
"2023-05-20 22:40:00",,386.794,394.554
"2023-05-20 22:50:00",,397.52,404.344
"2023-05-20 23:00:00",,401.538,408.898
"2023-05-20 23:10:00",,407.53,412.2
"2023-05-20 23:20:00",,421.308,420.976
"2023-05-20 23:30:00",,418.342,422.062
"2023-05-20 23:40:00",,410.648,419.966
"2023-05-20 23:50:00",,409.282,422.154
"2023-05-21 00:00:00",,418.594,424.456
"2023-05-21 00:10:00",,422.22,423.468
"2023-05-21 00:20:00",,412.312,419.212
"2023-05-21 00:30:00",,414.722,420.724
"2023-05-21 00:40:00",,412.82,418.788
"2023-05-21 00:50:00",,411.098,419.014
"2023-05-21 01:00:00",,407.992,417.966
"2023-05-21 01:10:00",,412.156,413.95
"2023-05-21 01:20:00",,406.324,412.88
"2023-05-21 01:30:00",,407.596,412.13
"2023-05-21 01:40:00",,405.394,412.37
"2023-05-21 01:50:00",,403.364,412.45
"2023-05-21 02:00:00",,405.198,413.592
"2023-05-21 02:10:00",,369.822,380.05
"2023-05-21 02:20:00",,366.842,373.684
"2023-05-21 02:30:00",,373.782,385.496
"2023-05-21 02:40:00",,369.178,379.87
"2023-05-21 02:50:00",,368.11,376.872
"2023-05-21 03:00:00",,363.726,373.444
"2023-05-21 03:10:00",,364.394,376.098
"2023-05-21 03:20:00",,355.784,368.818
"2023-05-21 03:30:00",,355.932,365.14
"2023-05-21 03:40:00",,360.772,364.536
"2023-05-21 03:50:00",,357.504,363.256
"2023-05-21 04:00:00",,356.154,366.502
"2023-05-21 04:10:00",,360.254,373.734
"2023-05-21 04:20:00",,378.696,392.388
"2023-05-21 04:30:00",,395.954,406.198
"2023-05-21 04:40:00",,408.072,411.218
"2023-05-21 04:50:00",,414.396,415.716
"2023-05-21 05:00:00",,412.094,417.182
"2023-05-21 05:10:00",,411.154,415.674
"2023-05-21 05:20:00",,423.16,423.966
"2023-05-21 05:30:00",,428.358,427.936
"2023-05-21 05:40:00",,434.29,431.466
"2023-05-21 05:50:00",,440.12,431.532
"2023-05-21 06:00:00",,442.644,429.6
"2023-05-21 06:10:00",,438.252,425.282
"2023-05-21 06:20:00",,436.572,423.81
"2023-05-21 06:30:00",,431.978,420.504
"2023-05-21 06:40:00",,432.892,425.128
"2023-05-21 06:50:00",,430.032,420.392
"2023-05-21 07:00:00",,420.28,414.346
"2023-05-21 07:10:00",,408.316,407.508
"2023-05-21 07:20:00",,398.016,398.564
"2023-05-21 07:30:00",,398.208,402.004
"2023-05-21 07:40:00",,408.756,406.472
"2023-05-21 07:50:00",,400.594,401.436
"2023-05-21 08:00:00",,396.772,399.428
"2023-05-21 08:10:00",,406.964,410.85
"2023-05-21 08:20:00",,406.916,410.06
"2023-05-21 08:30:00",,399.148,403.692
"2023-05-21 08:40:00",,396.5,403.238
"2023-05-21 08:50:00",,374.826,384.088
"2023-05-21 09:00:00",,358.416,368.362
"2023-05-21 09:10:00",,352.15,360.306
"2023-05-21 09:20:00",,342.56,346.928
"2023-05-21 09:30:00",,338.292,342.082
"2023-05-21 09:40:00",,334.838,340.684
"2023-05-21 09:50:00",,335.022,339.802
"2023-05-21 10:00:00",,331.002,337.204
"2023-05-21 10:10:00",,315.588,319.726
