Mf,Scaled Distance,Overpressure
0.037,0.01017902,0.01009606
0.037,0.01048667,0.01002711
0.037,0.0108027,0.01009926
0.037,0.01112873,0.01010086
0.037,0.0114646,0.01010246
0.037,0.01181061,0.01010406
0.037,0.01216705,0.01010566
0.037,0.01253426,0.01010726
0.037,0.01291309,0.01003824
0.037,0.0133028,0.01003983
0.037,0.01370371,0.01011207
0.037,0.0141173,0.01011367
0.037,0.01454336,0.01011528
0.037,0.01498228,0.01011688
0.037,0.0154351,0.01004778
0.037,0.01590027,0.01012008
0.037,0.01638083,0.01005097
0.037,0.0168745,0.01012329
0.037,0.0173845,0.01005416
0.037,0.01790842,0.0101265
0.037,0.01844968,0.01005734
0.037,0.01900649,0.01005893
0.037,0.01958012,0.01006053
0.037,0.02017105,0.01006212
0.037,0.02077894,0.01013452
0.037,0.02140695,0.01006531
0.037,0.0220521,0.01013774
0.037,0.02271763,0.01013934
0.037,0.02340326,0.01014095
0.037,0.02410958,0.01014256
0.037,0.02483721,0.01014417
0.037,0.0255868,0.01014577
0.037,0.02635902,0.01014738
0.037,0.02715454,0.01014899
0.037,0.02797408,0.0101506
0.037,0.02881834,0.0101522
0.037,0.02968808,0.01015382
0.037,0.03058408,0.01015542
0.037,0.03150711,0.01015703
0.037,0.03245801,0.01015864
0.037,0.0334376,0.01016025
0.037,0.03444675,0.01016186
0.037,0.03548637,0.01016347
0.037,0.03655735,0.01016508
0.037,0.03766067,0.01016669
0.037,0.03879728,0.0101683
0.037,0.03996819,0.01016991
0.037,0.04117444,0.01017153
0.037,0.0424171,0.01017314
0.037,0.04369725,0.01017475
0.037,0.04501605,0.01017636
0.037,0.04637464,0.01017798
0.037,0.04777424,0.01017959
0.037,0.04921609,0.0101812
0.037,0.05070144,0.01018281
0.037,0.05223162,0.01018443
0.037,0.05380798,0.01018604
0.037,0.05543192,0.01018766
0.037,0.05710488,0.01018927
0.037,0.05882831,0.01019088
0.037,0.06060377,0.0101925
0.037,0.06243282,0.01019412
0.037,0.06431705,0.01019573
0.037,0.06625815,0.01019734
0.037,0.06825784,0.01019896
0.037,0.07031789,0.01020058
0.037,0.0724401,0.01020219
0.037,0.07462636,0.01020381
0.037,0.07687861,0.01020543
0.037,0.07919883,0.01020704
0.037,0.08158906,0.01020866
0.037,0.08405145,0.01021028
0.037,0.08658813,0.0102119
0.037,0.08920139,0.01021351
0.037,0.09189352,0.01021513
0.037,0.09466688,0.01021675
0.037,0.09752396,0.01021837
0.037,0.1004673,0.01021999
0.037,0.1034994,0.01022161
